City,Date,PM2.5,PM10,NO2,CO,SO2,O3,AQI
Ahmedabad,01-01-2015,,,18.22,0.92,27.64,133.36,
Ahmedabad,02-01-2015,,,15.69,0.97,24.55,34.06,
Ahmedabad,03-01-2015,,,19.3,17.4,29.07,30.7,
Ahmedabad,04-01-2015,,,18.48,1.7,18.59,36.08,
Ahmedabad,05-01-2015,,,21.42,22.1,39.33,39.31,
Ahmedabad,06-01-2015,,,38.48,45.41,45.76,46.51,
Ahmedabad,07-01-2015,,,40.62,112.16,32.28,33.47,
Ahmedabad,08-01-2015,,,36.74,80.87,38.54,31.89,
Ahmedabad,09-01-2015,,,31,29.16,58.68,25.75,
Ahmedabad,10-01-2015,,,7.04,,8.29,4.55,
Ahmedabad,11-01-2015,,,55.8,132.07,25.03,6.79,
Ahmedabad,12-01-2015,,,40.67,52.04,51.84,45.89,
Ahmedabad,13-01-2015,,,44.2,48.82,68.21,35.16,
Ahmedabad,14-01-2015,,,27.86,19.2,52.65,20.96,
Ahmedabad,15-01-2015,,,16.96,0.6,28.89,47.63,
Ahmedabad,16-01-2015,,,21.72,1.63,38.27,46.03,
Ahmedabad,17-01-2015,,,24.73,11.44,49.5,52.24,
Ahmedabad,18-01-2015,,,25.77,6.1,48.43,53.49,
Ahmedabad,19-01-2015,,,26.88,2.51,50.03,49.48,
Ahmedabad,20-01-2015,,,26.8,7.92,58.87,56.37,
Ahmedabad,21-01-2015,,,33.56,9.52,106.93,48.75,
Ahmedabad,22-01-2015,,,17.51,9.05,23.71,42.22,
Ahmedabad,23-01-2015,,,27.96,22.53,39.19,32.92,
Ahmedabad,24-01-2015,,,20.39,2.03,40.07,32.49,
Ahmedabad,25-01-2015,,,20.43,1.42,58.41,39.26,
Ahmedabad,26-01-2015,,,21.16,2.27,43.73,39.83,
Ahmedabad,27-01-2015,,,21.7,2.19,43.28,41.1,
Ahmedabad,28-01-2015,73.24,,21.11,5.72,36.52,62.42,
Ahmedabad,29-01-2015,83.13,,28.71,6.93,49.52,59.76,209
Ahmedabad,30-01-2015,79.84,,28.68,13.85,48.49,97.07,328
Ahmedabad,31-01-2015,94.52,,32.66,24.39,67.39,111.33,514
Ahmedabad,01-02-2015,135.99,,42.08,43.48,75.23,102.7,782
Ahmedabad,02-02-2015,178.33,,35.31,54.56,55.04,107.38,914
Ahmedabad,03-02-2015,139.7,,28.4,30.61,33.79,73.6,660
Ahmedabad,04-02-2015,80.65,,22.83,2.37,25.73,47.3,294
Ahmedabad,05-02-2015,58.36,,21.39,2.6,32.66,53.54,149
Ahmedabad,06-02-2015,79.29,,26.94,1.16,67.41,59.3,190
Ahmedabad,07-02-2015,88.7,,31.32,7.29,80.09,44.76,247
Ahmedabad,08-02-2015,74.28,,27.3,8.92,54.28,47.42,379
Ahmedabad,09-02-2015,113.93,,24.27,4.32,48.73,39.94,341
Ahmedabad,10-02-2015,105.39,,18.21,1.41,35.91,56.15,256
Ahmedabad,11-02-2015,66.52,,23.8,6.34,66.58,53.14,388
Ahmedabad,12-02-2015,65.04,,30.1,14.19,65.91,31.88,288
Ahmedabad,13-02-2015,103.36,,39.56,18.18,80.43,40.11,510
Ahmedabad,14-02-2015,177.33,,47.58,37.49,99.72,36.47,761
Ahmedabad,15-02-2015,113.25,,30.5,15.55,69.71,33.78,475
Ahmedabad,16-02-2015,99.7,,28.1,19.85,73.23,30.57,536
Ahmedabad,17-02-2015,80.61,,21.04,15.96,54.7,36.2,479
Ahmedabad,18-02-2015,100.79,,25.93,16.24,43.11,37.43,592
Ahmedabad,19-02-2015,107.99,,30.09,11.25,84.86,31.94,427
Ahmedabad,20-02-2015,140.29,,36.14,33.84,101.53,40.98,588
Ahmedabad,21-02-2015,239.96,,46.25,61.95,84.87,33.55,1141
Ahmedabad,22-02-2015,142.96,,48.21,45.45,62.96,34.77,669
Ahmedabad,23-02-2015,238.41,,55.07,77.7,89.07,37.3,1247
Ahmedabad,24-02-2015,118.72,,32.01,12.56,61.54,38.8,411
Ahmedabad,25-02-2015,52.99,,10.45,2.23,32.76,67.25,292
Ahmedabad,26-02-2015,,,,,,,
Ahmedabad,27-02-2015,,,,,,,
Ahmedabad,28-02-2015,,,,,,,
Ahmedabad,01-03-2015,61.12,,16.81,3.58,28.44,30.48,
Ahmedabad,02-03-2015,60.78,,18.21,9.07,29.48,34.75,189
Ahmedabad,03-03-2015,91.83,,28.71,12.99,39.71,38.46,408
Ahmedabad,04-03-2015,93.88,,29.38,18.21,62.75,46.79,383
Ahmedabad,05-03-2015,173.01,,42.27,48.44,78.76,59.39,780
Ahmedabad,06-03-2015,,,,,,,
Ahmedabad,07-03-2015,105.45,,16.1,2.5,29.29,69.9,
Ahmedabad,08-03-2015,71.56,,16.83,3.51,30.28,57.16,190
Ahmedabad,09-03-2015,119.8,,24.07,4.13,50.35,50.49,233
Ahmedabad,10-03-2015,106.71,,25.59,5.39,38.85,60.17,297
Ahmedabad,11-03-2015,118.49,,28.94,4.11,54.2,53.61,330
Ahmedabad,12-03-2015,106.01,,27.31,4.28,70.29,40.91,252
Ahmedabad,13-03-2015,97.34,,21.58,3.67,64.39,45.69,244
Ahmedabad,14-03-2015,83.92,,25.03,6.42,67.53,34.94,234
Ahmedabad,15-03-2015,49.51,,14.16,3.1,48.33,37.95,219
Ahmedabad,16-03-2015,30.76,,14.14,2.72,43.62,54.78,118
Ahmedabad,17-03-2015,50.29,,29.84,5.34,59.23,45.44,231
Ahmedabad,18-03-2015,57.69,,29.48,25.36,58.33,52.87,286
Ahmedabad,19-03-2015,105.06,,37.05,46.24,53.62,45.65,883
Ahmedabad,20-03-2015,94.1,,36.53,22.14,61.31,46.77,720
Ahmedabad,21-03-2015,111.89,,43.29,22.25,66.44,50.57,570
Ahmedabad,22-03-2015,108.59,,39.34,25.38,75.8,46.68,589
Ahmedabad,23-03-2015,130.76,,41.03,45.61,65.77,41.58,818
Ahmedabad,24-03-2015,143.55,,31.15,27.3,50.98,35.38,737
Ahmedabad,25-03-2015,165.07,,34.48,23.83,64.32,43.79,585
Ahmedabad,26-03-2015,166.85,,43.3,17.93,79.71,53.44,616
Ahmedabad,27-03-2015,147.38,,35.82,6.4,46.89,17.94,437
Ahmedabad,28-03-2015,158.25,,27.89,5.86,142.36,38.54,321
Ahmedabad,29-03-2015,237.76,,21.8,4.99,96.28,39.77,372
Ahmedabad,30-03-2015,133.37,,17.99,3.88,57.34,39.66,339
Ahmedabad,31-03-2015,133.3,,20,6.52,51.58,59.03,339
Ahmedabad,01-04-2015,96.04,,20.07,3.8,62.42,46.61,324
Ahmedabad,02-04-2015,77.69,,18.87,5.24,100.48,27.14,222
Ahmedabad,03-04-2015,53.07,,13.82,4.17,40.36,21.76,169
Ahmedabad,04-04-2015,63.11,,15.5,5.63,38.21,4.72,220
Ahmedabad,05-04-2015,156.76,,16.7,3.92,26.32,37.11,
